Município,Código IBGE,Latitude,Longitude,População,Lixo (t/d),Custo de Coleta Mista Convencional,Custo de Coleta e Transbordo de Resíduos Mistos,Custo de Transporte Pós Transbordo,UTVR,Aterro Existente,Aterro Pontencial
Álvares Machado,3501301,-22.0764,-51.4722,25078,26.3199,275,83.4,0.65,Sim,Não,Não
Caiabu,3508900,-22.0127,-51.2394,4195,4.4027,500,1008.3,0.9,Sim,Não,Não
Martinópolis,3529203,-22.1462,-51.1709,26791,28.1177,275,65.8,0.75,Sim,Não,Sim
Paraguaçu Paulista,3535507,-22.4114,-50.5732,46180,48.4669,275,73.7,0.65,Sim,Não,Não
Presidente Bernardes,3541208,-22.0082,-51.5565,12943,13.5839,500,99,0.75,Sim,Não,Não
Presidente Prudente,3541406,-22.1207,-51.3925,231953,243.4395,100,29.9,0.5,Sim,Não,Não
Rancharia,3542206,-22.2269,-50.893,29743,31.2159,275,66,0.75,Sim,Não,Sim
Regente Feijó,3542404,-22.2181,-51.3055,20523,21.5393,275,91.6,0.75,Sim,Não,Não
Santo Anastácio,3547700,-21.9747,-51.6527,20855,21.8878,275,75.7,0.75,Sim,Não,Não
Santo Expedito,3548302,-21.8467,-51.3929,3159,3.3154,500,664.5,0.9,Sim,Não,Não
Adamantina,3500105,-21.682,-51.0737,35153,36.8938,275,64.2,0.65,Sim,Sim,Não
Alfredo Marcondes,3500808,-21.9527,-51.414,4201,4.4090,500,289,0.9,Sim,Não,Não
Anhumas,3502408,-22.2934,-51.3895,4172,4.3786,500,291.7,0.9,Sim,Não,Não
Bastos,3505807,-21.921,-50.7357,20952,21.9896,275,61.3,0.75,Sim,Não,Não
Borá,3507209,-22.2696,-50.5409,839,0.8805,500,1424.8,0.9,Sim,Não,Não
Emilianópolis,3515129,-21.8314,-51.4832,3238,3.3983,500,373.3,0.9,Sim,Não,Não
Iacri,3519204,-21.8572,-50.6932,6269,6.5794,500,193.6,0.9,Sim,Não,Não
Iepê,3519907,-22.6602,-51.0779,8228,8.6355,500,149.7,0.9,Sim,Não,Não
Indiana,3520608,-22.1738,-51.2555,4873,5.1143,500,248.4,0.9,Sim,Não,Não
Inúbia Paulista,3520806,-21.7695,-50.9633,4045,4.2453,500,300.6,0.9,Sim,Não,Não
João Ramalho,3525607,-22.2473,-50.7694,4577,4.8037,500,266,0.9,Sim,Não,Não
Lucélia,3527405,-21.7182,-51.0215,22022,23.1125,275,100.3,0.65,Sim,Não,Não
Mariápolis,3528908,-21.7959,-51.1824,4098,4.3009,500,295.4,0.9,Sim,Não,Não
Nantes,3532157,-22.6156,-51.24,3215,3.3742,500,378.9,0.9,Sim,Não,Não
Narandiba,3532207,-22.4057,-51.5274,4950,5.1951,500,247.2,0.9,Sim,Não,Não
Osvaldo Cruz,3534609,-21.7968,-50.8793,33118,34.7580,275,68,0.65,Sim,Não,Não
Parapuã,3536000,-21.7792,-50.7949,10934,11.4755,275,113.2,0.75,Sim,Não,Não
Pirapozinho,3539202,-22.2711,-51.4976,27974,29.3593,275,80,0.65,Sim,Não,Não
Pracinha,3540853,-21.8496,-51.0868,4327,4.5413,500,287.1,0.9,Sim,Não,Não
Quatá,3541703,-22.2456,-50.6966,14309,15.0176,275,88.3,0.75,Sim,Sim,Não
Sagres,3544707,-21.8823,-50.9594,2427,2.5472,500,494.3,0.9,Sim,Não,Não
Taciba,3552908,-22.3866,-51.2882,6371,6.6865,500,192.6,0.9,Sim,Não,Não
Tarabai,3553906,-22.3016,-51.5621,7609,7.9858,500,162.3,0.9,Sim,Não,Não
